Geneid	Chr	Start	End	Strand	Length	wt35_1.1st	wt35_2.1st	wt35_3.1st	wt35_1.3st	wt35_2.3st	wt35_3.3st	wt35_4.3st	Mut218_1.3st	Mut218_2.3st	Mut218_3.3st
YAL036C	chrI	75043	76152	-	1110	214	364	276	250	269	256	227	326	344	298
YAL035W	chrI	76427	79435	+	3009	1890	4211	4671	5930	7284	5950	8396	4902	5715	6305
YAL034C-B	chrI	79489	79842	-	354	3	2	5	7	6	7	9	4	1	3
YAL034W-A	chrI	79718	80587	+	870	60	84	74	63	69	60	92	78	88	97
YAL034C	chrI	80710	81951	-	1242	174	244	133	262	180	211	154	301	308	540
YAL033W	chrI	82706	83227	+	522	49	91	61	96	76	73	98	90	90	90
YAL032C	chrI	83335	84474	-	1140	237	320	209	235	144	197	125	165	166	154
YAL031W-A	chrI	84669	84977	+	309	5	7	4	4	2	1	3	0	1	1
YAL031C	chrI	84749	87031	-	2283	263	347	201	218	151	189	131	187	233	301
YAL030W	chrI	87286	87752	+	467	318	491	307	508	500	518	422	367	352	364
YAL029C	chrI	87855	92270	-	4416	961	1401	987	1045	765	1050	869	850	777	902
YAL028W	chrI	92900	94486	+	1587	318	433	215	358	188	327	169	177	155	260
YAL027W	chrI	94687	95472	+	786	131	153	122	142	131	156	120	170	170	192
YAL026C-A	chrI	95386	95823	-	438	55	67	24	27	16	24	15	7	3	5
YAL026C	chrI	95630	99697	-	4068	1265	1770	826	544	348	461	314	326	316	428
YAL025C	chrI	100225	101145	-	921	166	319	377	196	221	291	297	266	376	282
YAL024C	chrI	101565	105872	-	4308	72	66	47	57	57	70	85	90	61	106
YAL023C	chrI	106272	108551	-	2280	686	968	673	699	742	756	762	1199	1192	1374
YAL022C	chrI	108877	110430	-	1554	283	398	254	310	277	278	194	266	252	244
YAL021C	chrI	110846	113359	-	2514	388	623	429	356	361	410	318	384	453	487
YAL020C	chrI	113614	114615	-	1002	75	139	85	136	177	134	82	88	69	79
YAL019W-A	chrI	114250	114819	+	570	0	1	2	3	2	0	1	2	0	2
YAL019W	chrI	114919	118314	+	3396	287	454	311	269	246	303	227	312	246	270
YAL018C	chrI	118564	119541	-	978	2	2	4	3	3	1	3	11	8	14
YAL017W	chrI	120225	124295	+	4071	641	947	500	736	526	644	534	466	530	797
YAL016C-B	chrI	124307	124492	-	186	22	35	15	27	13	32	16	11	10	6
YAL016C-A	chrI	124755	125069	-	315	2	3	1	1	3	1	1	5	3	9
YAL016W	chrI	124879	126786	+	1908	953	1312	697	1277	921	1127	919	920	816	1087
YAL015C	chrI	126903	128102	-	1200	823	1169	864	881	712	796	608	427	485	463
YAL014C	chrI	128252	129019	-	768	272	343	233	263	201	204	169	207	250	279
YAL013W	chrI	129270	130487	+	1218	296	372	255	360	256	267	177	278	241	276
YAL012W	chrI	130799	131983	+	1185	1431	1937	1235	1060	1217	1120	1083	3528	1917	3748
YAL011W	chrI	132199	134076	+	1878	234	396	324	462	451	290	327	282	304	358
YAL010C	chrI	134184	135665	-	1482	107	183	101	114	108	141	108	163	140	214
YAL009W	chrI	135854	136633	+	780	171	246	141	218	154	213	164	136	155	161
YAL008W	chrI	136914	137510	+	597	183	214	138	286	214	280	269	235	218	274
YAL007C	chrI	137698	138345	-	648	232	332	190	276	275	332	319	355	295	331
YAL005C	chrI	139503	141431	-	1929	9931	15862	6960	10249	10143	10720	8100	9735	12554	13963
YAL004W	chrI	140760	141407	+	648	0	0	0	0	0	0	0	0	0	0
YAL003W	chrI	142174	143160	+	987	1849	2824	1911	2159	2127	2380	1900	2985	3367	3529
YAL002W	chrI	143707	147531	+	3825	293	417	232	231	211	288	251	221	227	252
YAL001C	chrI	147594	151166	-	3573	773	1056	651	759	570	726	588	361	410	517
YAR002W	chrI	152257	153876	+	1620	324	492	374	408	368	462	428	377	421	471
YAR002C-A	chrI	154065	154724	-	660	374	527	363	370	442	494	503	663	625	623
YAR003W	chrI	155005	156285	+	1281	333	415	307	325	281	322	263	323	283	339
YAR007C	chrI	156754	158619	-	1866	313	407	299	306	293	329	382	474	377	473
YAR008W	chrI	158966	159793	+	828	87	108	99	112	100	109	131	160	121	161
YAR014C	chrI	166742	168871	-	2130	497	741	506	472	365	486	372	411	400	464
YAR015W	chrI	169375	170295	+	921	1456	2234	1378	1831	1686	1610	1695	882	826	892
YAR018C	chrI	170396	171703	-	1308	328	496	408	456	357	433	391	406	424	456
YAR019C	chrI	172211	175135	-	2925	193	228	145	215	126	183	127	214	208	310
YAR019W-A	chrI	174998	175330	+	333	4	4	1	6	4	0	1	4	7	2
YAR020C	chrI	176856	177023	-	168	59	73	52	71	31	37	29	16	13	22
YAR023C	chrI	179281	179820	-	540	100	127	67	90	61	74	41	54	61	73
YAR027W	chrI	183770	184477	+	708	287	370	175	375	309	341	274	306	343	385
YAR028W	chrI	184892	185596	+	705	45	82	45	66	51	64	43	73	40	62
YAR029W	chrI	186321	186545	+	225	37	62	34	54	31	32	23	30	28	19
YAR030C	chrI	186512	186853	-	342	36	72	38	43	37	42	35	23	13	28
YAR031W	chrI	186836	187732	+	897	31	46	17	27	22	19	30	16	21	14
YAR033W	chrI	188107	188811	+	705	75	94	47	74	64	71	60	50	50	54
YAR035W	chrI	190193	192256	+	2064	460	630	300	580	361	419	158	608	493	607
YAR035C-A	chrI	192337	192417	-	81	57	71	47	49	22	52	44	14	23	10
YAR042W	chrI	192619	196185	+	3567	953	1506	883	1098	932	1036	847	1024	1150	1168
YAR047C	chrI	201467	201787	-	321	0	0	0	0	0	0	0	0	0	0
YAR050W	chrI	203403	208016	+	4614	12	22	17	20	13	16	18	7	18	17
YAR053W	chrI	208367	208663	+	297	0	0	0	0	0	1	0	0	0	0
YAR060C	chrI	217157	217492	-	336	0	0	0	0	0	0	0	0	0	0
YAR064W	chrI	220198	220497	+	300	2	5	1	1	5	5	4	6	3	2
YAR066W	chrI	221049	221660	+	612	8	14	8	8	10	3	8	7	12	6
YAR068W	chrI	222406	222891	+	486	24	37	23	31	44	29	16	20	20	24
YAR069C	chrI	224011	224304	-	294	1	1	1	1	1	0	1	1	1	0
YAR070C	chrI	224563	224862	-	300	1	1	1	2	1	1	0	2	0	0
YAR071W	chrI	225460	226863	+	1404	98	102	60	99	65	76	40	68	71	89
YAR073W	chrI	227742	228953	+	1212	18	47	24	28	18	15	27	69	82	87
YAR075W	chrI	228844	229317	+	474	0	0	0	0	0	0	0	0	0	0
YBL113C	chrII	280	2658	-	2379	738	1244	783	1048	719	945	772	607	629	609
YBL113W-A	chrII	646	1128	+	483	0	0	0	0	0	0	0	0	0	0
YBL112C	chrII	2582	2899	-	318	3	8	4	0	3	1	3	4	4	3
YBL111C	chrII	2907	5009	-	2103	16	31	22	26	16	17	21	24	21	34
YBL109W	chrII	5790	6125	+	336	1	1	3	3	7	3	2	2	1	3
YBL108C-A	chrII	7605	7733	-	129	29	30	18	36	20	20	15	1	5	3
YBL108W	chrII	8177	8482	+	306	5	9	4	5	6	8	1	4	2	2
YBL107W-A	chrII	9268	9372	+	105	12	11	5	16	9	6	5	2	2	0
YBL107C	chrII	9961	10551	-	591	233	380	267	297	284	334	425	337	352	327
YBL106C	chrII	10847	13879	-	3033	616	949	706	905	801	970	847	529	561	535
YBL105C	chrII	14241	17696	-	3456	613	1005	674	596	539	568	594	600	598	677
YBL104C	chrII	18177	21293	-	3117	229	316	234	226	177	204	184	195	199	240
YBL103C	chrII	22076	23536	-	1461	760	915	627	546	382	476	347	272	237	342
YBL102W	chrII	24098	24745	+	648	507	609	394	617	355	396	281	240	240	257
YBL101C	chrII	24946	28299	-	3354	681	841	560	701	474	591	405	379	409	462
YBL100W-C	chrII	28427	28546	+	120	3	7	7	3	5	7	6	8	9	10
YBL100C	chrII	36989	37303	-	315	52	103	32	52	55	65	47	61	74	81
YBL099W	chrII	37053	38690	+	1638	2052	3230	1576	3272	2808	2277	2687	2500	2443	2351
YBL098W	chrII	39145	40527	+	1383	712	960	660	698	594	702	694	455	472	476
YBL097W	chrII	40831	43095	+	2265	46	99	79	50	75	56	76	93	93	154
YBL096C	chrII	43174	43482	-	309	2	7	4	5	2	3	3	3	7	4
YBL095W	chrII	43277	44089	+	813	206	286	111	184	162	132	91	98	75	75
YBL094C	chrII	43765	44097	-	333	12	12	5	8	6	8	6	4	3	1
YBL093C	chrII	44256	44918	-	663	317	422	304	465	412	408	354	402	421	454
YBL092W	chrII	45645	46370	+	726	702	1258	962	1189	1173	1184	1099	1390	1354	1363
YBL091C-A	chrII	46565	47180	-	616	191	217	131	175	138	165	161	145	168	154
YBL091C	chrII	47363	48628	-	1266	1326	2488	2126	2904	3389	2366	3018	1641	1799	1857
YBL090W	chrII	48825	49358	+	534	205	287	188	261	247	262	299	275	234	286
YBL089W	chrII	49574	50953	+	1380	187	236	144	175	141	156	142	145	139	155
YBL088C	chrII	51019	59382	-	8364	545	879	611	531	411	611	504	374	359	421
YBL087C	chrII	59822	60739	-	918	382	568	488	493	550	492	423	530	490	509
YBL086C	chrII	61202	62602	-	1401	480	644	354	642	436	525	350	269	275	353
YBL085W	chrII	63876	66818	+	2943	325	507	277	324	252	342	261	386	422	530
YBL084C	chrII	67169	69445	-	2277	127	198	128	132	106	124	96	134	162	163
YBL083C	chrII	69713	70138	-	426	0	1	0	0	0	0	0	0	0	0
YBL082C	chrII	69751	71127	-	1377	57	88	83	72	100	70	72	93	101	81
YBL081W	chrII	71866	72972	+	1107	62	123	93	72	66	84	72	97	96	97
YBL080C	chrII	73070	74695	-	1626	231	340	222	266	263	299	330	283	295	352
YBL079W	chrII	75259	79767	+	4509	653	989	642	600	476	693	566	526	542	641
YBL078C	chrII	80378	80731	-	354	247	339	186	402	336	269	243	335	316	438
YBL077W	chrII	80897	81328	+	432	12	10	5	7	5	6	1	2	5	1
YBL076C	chrII	81043	84261	-	3219	3549	5233	2989	3266	2508	2803	2479	1864	1840	1919
YBL075C	chrII	84499	86448	-	1950	911	1549	1105	784	939	1114	865	2127	2627	3155
YBL074C	chrII	86722	87789	-	1068	46	88	59	63	74	75	91	75	79	96
YBL073W	chrII	87646	87957	+	312	3	15	2	12	26	13	12	6	13	5
YBL072C	chrII	88523	89440	-	918	863	1325	1118	1479	1480	1511	1637	1494	1479	1664
YBL071C-B	chrII	89458	89556	-	99	1	2	0	1	2	0	1	0	0	0
YBL071W-A	chrII	89978	90226	+	249	79	130	77	122	99	99	93	103	110	105
YBL071C	chrII	90223	90531	-	309	47	91	87	114	78	87	74	77	85	69
YBL070C	chrII	90605	90925	-	321	5	2	2	3	1	1	2	1	0	1
YBL069W	chrII	90741	92030	+	1290	93	140	115	146	157	141	128	131	180	160
YBL068W-A	chrII	91794	92030	+	237	0	0	0	0	0	0	0	0	0	0
YBL068W	chrII	92414	93394	+	981	307	481	382	395	348	396	347	340	313	319
YBL067C	chrII	93639	95882	-	2244	210	334	201	242	190	272	250	314	305	342
YBL066C	chrII	96669	100115	-	3447	191	363	158	205	199	229	174	253	269	353
YBL065W	chrII	99963	100307	+	345	2	7	4	4	6	1	0	0	1	1
YBL064C	chrII	100371	101156	-	786	1519	2742	1285	1549	1235	1443	1169	1633	1831	1772
YBL063W	chrII	101886	105221	+	3336	109	148	81	104	82	79	99	86	73	98
YBL062W	chrII	105308	105688	+	381	0	0	0	0	0	0	0	0	0	0
YBL061C	chrII	105316	107406	-	2091	281	504	326	290	296	301	234	432	424	497
YBL060W	chrII	107932	109995	+	2064	603	937	565	416	372	442	388	339	293	271
YBL059C-A	chrII	110125	110539	-	415	66	133	71	87	95	132	130	144	154	175
YBL059W	chrII	110594	111244	+	651	56	88	65	86	76	80	74	93	104	87
YBL058W	chrII	111437	112708	+	1272	915	1536	1001	1173	1201	1322	1274	1093	1145	1267
YBL057C	chrII	112801	113427	-	627	385	506	349	477	408	450	406	458	462	475
YBL056W	chrII	113762	115168	+	1407	755	1209	633	910	747	937	902	991	1082	1161
YBL055C	chrII	115573	116829	-	1257	293	466	293	439	347	405	377	500	485	507
YBL054W	chrII	117589	119166	+	1578	102	211	163	150	138	178	141	288	222	141
YBL053W	chrII	119335	119709	+	375	0	1	0	0	0	6	1	0	1	1
YBL052C	chrII	119379	121874	-	2496	182	277	200	161	148	197	165	125	140	146
YBL051C	chrII	122753	124759	-	2007	402	739	369	529	423	450	414	580	629	798
YBL050W	chrII	125125	126119	+	995	798	1076	711	962	904	923	1010	926	919	1012
YBL049W	chrII	126828	127244	+	417	266	351	158	374	236	313	177	271	304	315
YBL048W	chrII	127299	127610	+	312	36	44	29	70	24	43	36	28	22	33
YBL047C	chrII	127895	132040	-	4146	1521	2353	1336	2004	1623	1875	1635	1491	1455	1804
YBL046W	chrII	132424	133749	+	1326	165	191	117	147	144	141	149	184	195	256
YBL045C	chrII	134143	135516	-	1374	1823	2738	1496	3526	2870	2977	3183	2274	2296	2257
YBL044W	chrII	135998	136366	+	369	0	2	0	4	0	4	0	0	1	0
YBL043W	chrII	136688	137461	+	774	168	222	129	226	107	132	56	162	121	88
YBL042C	chrII	138341	140260	-	1920	469	738	512	468	405	480	322	318	271	252
YBL041W	chrII	141247	141972	+	726	705	1116	703	823	701	842	817	882	819	900
YBL040C	chrII	142112	142868	-	757	282	398	223	315	267	344	328	440	419	456
YBL039W-B	chrII	143393	143572	+	180	61	71	34	89	41	73	42	58	69	69
YBL039C	chrII	143989	145728	-	1740	223	330	263	259	352	399	352	359	376	230
YBL039C-A	chrII	144948	145031	-	84	0	0	0	0	0	0	0	0	0	0
YBL038W	chrII	146187	146885	+	699	325	471	264	436	419	480	578	503	413	465
YBL037W	chrII	147209	150286	+	3078	292	394	254	356	251	306	298	307	308	325
YBL036C	chrII	150447	151220	-	774	325	494	306	380	362	447	413	513	513	582
YBL035C	chrII	151493	153610	-	2118	146	179	142	175	129	186	165	190	193	212
YBL034C	chrII	153848	158389	-	4542	74	126	66	90	87	90	79	127	134	213
YBL033C	chrII	158656	159693	-	1038	654	984	644	806	625	668	508	691	779	838
YBL032W	chrII	160184	161329	+	1146	143	231	138	163	163	187	146	217	209	287
YBL031W	chrII	161699	162715	+	1017	28	39	37	42	32	34	49	51	46	58
YBL030C	chrII	163041	163997	-	957	1338	2217	1122	1535	1327	1327	1303	1927	1560	1516
YBL029C-A	chrII	164488	164772	-	285	171	267	132	316	183	250	161	224	201	289
YBL029W	chrII	166134	167264	+	1131	355	422	341	472	322	433	307	346	287	302
YBL028C	chrII	167518	167838	-	321	127	211	175	127	114	204	230	192	197	161
YBL027W	chrII	168423	169376	+	954	1918	3557	3714	3200	3716	3484	4149	3513	4126	4007
YBL026W	chrII	170623	171038	+	416	274	352	214	237	199	286	275	289	262	290
YBL025W	chrII	171481	171918	+	438	162	242	176	124	124	160	139	106	120	135
YBL024W	chrII	172534	174588	+	2055	282	451	348	300	356	370	373	432	381	359
YBL023C	chrII	174920	177526	-	2607	143	252	150	177	155	189	189	276	227	332
YBL022C	chrII	177874	181275	-	3402	1000	1618	952	972	990	1121	1090	1126	1090	1211
YBL021C	chrII	181660	182094	-	435	121	162	101	156	149	147	158	142	149	155
YBL020W	chrII	182401	184125	+	1725	168	270	133	160	125	152	145	159	174	234
YBL019W	chrII	184353	185915	+	1563	183	261	172	190	149	204	192	175	206	230
YBL018C	chrII	185998	186474	-	477	130	210	128	157	139	178	154	130	152	125
YBL017C	chrII	186844	191583	-	4740	2218	3151	2075	2455	1750	2358	1863	1179	1145	1284
YBL016W	chrII	192451	193512	+	1062	950	1400	982	1251	1044	1069	907	603	599	598
YBL015W	chrII	194122	195702	+	1581	1041	1660	784	1373	1251	1305	1279	1528	1367	1610
YBL014C	chrII	199064	201748	-	2685	201	302	172	225	187	221	160	200	244	280
YBL013W	chrII	202056	203261	+	1206	17	23	24	27	23	25	32	17	34	28
YBL012C	chrII	203406	203807	-	402	3	5	3	2	3	3	8	1	4	2
YBL011W	chrII	203538	205817	+	2280	597	863	618	733	653	755	764	472	507	634
YBL010C	chrII	206107	206949	-	843	134	173	129	128	136	154	182	159	146	187
YBL009W	chrII	207194	209224	+	2031	139	251	166	166	167	172	184	220	240	260
YBL008W-A	chrII	209409	209648	+	240	0	1	0	1	1	0	0	0	0	1
YBL008W	chrII	209653	212175	+	2523	185	304	229	173	220	242	222	260	307	309
YBL007C	chrII	212632	216366	-	3735	860	1266	721	926	707	841	716	1007	946	1210
YBL006C	chrII	216587	217129	-	543	470	631	424	637	529	514	437	355	391	368
YBL006W-A	chrII	216711	216860	+	150	0	0	0	0	0	0	0	0	0	0
YBL005W	chrII	217470	220400	+	2931	694	1144	616	605	419	619	435	366	443	468
YBL004W	chrII	227636	235117	+	7482	358	666	565	543	489	665	594	535	618	522
YBL003C	chrII	235394	235792	-	399	641	685	522	1000	783	850	1128	710	648	733
YBL002W	chrII	236492	236887	+	396	264	372	266	365	338	382	441	427	443	460
YBL001C	chrII	237153	237467	-	315	657	845	560	1060	687	787	713	612	560	584
YBR001C	chrII	238941	241283	-	2343	485	796	451	736	562	771	511	416	478	585
YBR002C	chrII	241708	242568	-	861	210	354	257	223	205	217	198	255	265	281
YBR003W	chrII	242809	244230	+	1422	374	562	335	440	352	409	427	426	443	501
YBR004C	chrII	244366	245667	-	1302	185	252	155	217	147	234	149	240	207	235
YBR005W	chrII	245906	246547	+	642	115	162	113	211	170	176	113	191	182	188
YBR006W	chrII	247010	248503	+	1494	1312	1732	947	1538	1097	1276	995	605	558	615
YBR007C	chrII	248806	251016	-	2211	414	527	356	387	271	358	275	401	464	580
YBR008C	chrII	252563	254209	-	1647	432	665	395	458	374	524	354	417	497	585
YBR009C	chrII	255373	255684	-	312	1409	1713	1109	2130	1253	1417	1592	1288	1154	1214
YBR010W	chrII	256331	256741	+	411	759	888	507	1079	765	878	858	1087	975	1250
YBR011C	chrII	257112	257975	-	864	3090	3942	2620	4249	4207	3787	4521	6561	5138	5482
YBR012C	chrII	259147	259566	-	420	152	206	86	67	68	78	56	51	56	53
YBR013C	chrII	265492	265881	-	390	120	134	86	103	77	144	93	74	72	90
YBR014C	chrII	266725	267336	-	612	361	582	381	368	408	434	489	429	499	555
YBR015C	chrII	267710	269503	-	1794	738	1073	686	753	548	709	612	636	630	663
YBR016W	chrII	270247	270633	+	387	253	411	274	549	437	358	287	330	340	368
YBR017C	chrII	270947	273703	-	2757	419	635	457	516	454	522	465	484	510	595
YBR018C	chrII	274427	275527	-	1101	40	47	14	41	31	43	20	30	38	46
YBR019C	chrII	276253	278352	-	2100	49	57	35	59	34	57	40	58	72	97
YBR020W	chrII	279021	280607	+	1587	64	88	36	56	46	56	39	45	28	32
YBR021W	chrII	281443	283344	+	1902	80	137	109	166	173	159	118	104	123	134
YBR022W	chrII	283738	284271	+	534	130	214	115	200	137	205	178	120	149	166
YBR023C	chrII	284428	287925	-	3498	888	1365	850	744	548	752	510	731	643	663
YBR024W	chrII	289445	290350	+	906	278	385	238	414	359	406	433	360	342	410
YBR025C	chrII	290681	291865	-	1185	1530	2872	1844	1628	1857	2111	1991	2781	3226	3526
YBR026C	chrII	292877	294019	-	1143	899	1291	764	1822	1813	1925	1975	1460	1450	1615
YBR027C	chrII	294024	294356	-	333	11	16	8	12	3	6	13	4	6	4
YBR028C	chrII	294425	296002	-	1578	406	585	400	302	271	279	273	179	207	211
YBR029C	chrII	296369	297742	-	1374	586	992	499	394	376	522	436	561	501	514
YBR030W	chrII	298292	299950	+	1659	406	590	469	484	307	440	341	359	370	475
YBR031W	chrII	300166	301254	+	1089	1587	2468	1866	2326	2230	2243	2009	2204	2236	1901
YBR032W	chrII	301519	301821	+	303	27	30	30	26	13	31	11	16	15	11
YBR033W	chrII	301944	304703	+	2760	213	315	188	205	140	183	150	216	183	253
YBR034C	chrII	304930	305976	-	1047	349	488	328	341	296	318	261	468	387	365
YBR035C	chrII	306269	306955	-	687	789	1036	659	1186	855	967	822	786	760	837
YBR036C	chrII	309081	310313	-	1233	811	1073	644	1252	829	939	757	850	813	979
YBR037C	chrII	310565	311452	-	888	197	270	194	381	295	342	338	270	219	222
YBR038W	chrII	311898	314789	+	2892	134	162	98	192	123	137	146	256	194	250
YBR039W	chrII	315575	316510	+	936	910	1354	645	1178	926	1025	1032	1447	1318	1294
YBR040W	chrII	316968	317864	+	897	2	4	2	10	8	2	2	5	4	8
YBR041W	chrII	318266	320275	+	2010	500	675	393	538	408	504	441	498	447	489
YBR042C	chrII	320416	321609	-	1194	186	236	153	164	148	176	161	152	153	190
YBR043C	chrII	321876	323945	-	2070	1155	1591	1180	1126	892	1152	833	517	620	575
YBR044C	chrII	324341	326059	-	1719	502	818	482	617	506	578	527	425	403	432
YBR045C	chrII	328173	330092	-	1920	409	565	249	366	233	390	170	154	204	317
YBR046C	chrII	330507	331511	-	1005	358	544	279	294	237	294	209	412	372	521
YBR047W	chrII	331833	332360	+	528	598	669	328	416	190	322	132	81	109	128
YBR048W	chrII	332831	333812	+	982	455	733	553	646	671	706	633	750	714	805
YBR049C	chrII	334386	336818	-	2433	307	401	228	283	258	336	269	381	407	654
YBR050C	chrII	337183	338199	-	1017	54	83	51	68	53	54	54	92	81	156
YBR051W	chrII	337988	338338	+	351	7	9	3	7	3	8	4	3	5	9
YBR052C	chrII	338720	339352	-	633	642	937	470	993	682	863	730	671	691	779
YBR053C	chrII	339675	340751	-	1077	793	1082	664	1405	1351	1498	1314	1163	1215	1392
YBR054W	chrII	343101	344135	+	1035	1435	2813	1329	1487	1522	1606	1189	1638	2173	2455
YBR055C	chrII	344602	347301	-	2700	399	602	388	405	336	426	353	245	272	294
YBR056W	chrII	347879	349384	+	1506	1213	1631	823	1966	1527	1892	1501	1336	1348	1538
YBR056W-A	chrII	351255	351455	+	201	13	12	12	18	12	17	11	15	20	21
YBR056C-B	chrII	351293	351451	-	159	0	0	0	0	0	0	0	0	0	0
YBR057C	chrII	352193	353293	-	1101	417	524	314	375	316	380	370	300	270	331
YBR058C	chrII	353672	356017	-	2346	364	532	387	360	314	410	385	411	423	529
YBR058C-A	chrII	356324	356566	-	243	422	500	327	537	421	507	479	330	267	282
YBR059C	chrII	356861	360187	-	3327	853	1435	818	1309	906	1078	771	875	849	1054
YBR060C	chrII	360652	362514	-	1863	198	358	207	314	251	324	261	419	536	917
YBR061C	chrII	364787	365719	-	933	143	200	159	137	154	144	155	166	187	173
YBR062C	chrII	365976	366600	-	625	290	443	319	374	346	382	355	377	354	406
YBR063C	chrII	366970	368184	-	1215	319	509	313	322	266	362	274	238	275	265
YBR064W	chrII	367763	368191	+	429	0	1	0	0	0	0	0	0	0	0
YBR065C	chrII	368584	369678	-	1095	119	223	125	113	102	139	136	155	199	277
YBR066C	chrII	370037	370699	-	663	341	457	256	414	289	395	314	286	249	269
YBR067C	chrII	372103	372735	-	633	1468	2507	1534	1032	1189	1253	1072	1559	2361	1946
YBR068C	chrII	373861	375690	-	1830	5247	7548	4418	1879	1441	1856	1374	1702	1783	1730
YBR069C	chrII	376574	378433	-	1860	607	854	573	374	389	452	402	957	861	542
YBR070C	chrII	379221	379934	-	714	116	126	85	202	144	205	160	231	211	253
YBR071W	chrII	380411	381046	+	636	89	116	60	152	127	149	111	235	182	258
YBR072W	chrII	382030	382674	+	645	13297	25970	12858	9896	11403	12960	9152	15216	20722	24149
YBR072C-A	chrII	382860	383021	-	162	3	2	3	2	2	1	1	3	1	0
YBR073W	chrII	383112	385988	+	2877	455	600	460	611	554	646	610	659	664	726
YBR074W	chrII	386286	389216	+	2931	706	961	573	481	418	484	380	337	382	376
YBR076W	chrII	390227	391291	+	1065	99	141	59	89	58	108	56	62	55	61
YBR076C-A	chrII	391351	391617	-	267	83	118	90	179	97	162	87	114	94	103
YBR077C	chrII	391805	392293	-	489	307	409	299	526	361	451	300	433	364	413
YBR078W	chrII	393123	394742	+	1620	681	949	595	815	769	805	746	993	793	930
YBR079C	chrII	395383	398277	-	2895	1177	1975	1703	1680	1523	1655	1687	1655	1734	1607
YBR080C	chrII	398614	400890	-	2277	668	998	601	674	550	727	729	756	769	850
YBR081C	chrII	401253	405251	-	3999	598	902	517	560	456	529	487	430	405	503
